"1789-Washington" "1793-Washington" "1797-Adams" "1801-Jefferson" "1805-Jefferson" "1809-Madison" "1813-Madison" "1817-Monroe" "1821-Monroe" "1825-Adams" "1829-Jackson" "1833-Jackson" "1837-VanBuren" "1841-Harrison" "1845-Polk" "1849-Taylor" "1853-Pierce" "1857-Buchanan" "1861-Lincoln" "1865-Lincoln" "1869-Grant" "1873-Grant" "1877-Hayes" "1881-Garfield" "1885-Cleveland" "1889-Harrison" "1893-Cleveland" "1897-McKinley" "1901-McKinley" "1905-Roosevelt" "1909-Taft" "1913-Wilson" "1917-Wilson" "1921-Harding" "1925-Coolidge" "1929-Hoover" "1933-Roosevelt" "1937-Roosevelt" "1941-Roosevelt" "1945-Roosevelt" "1949-Truman" "1953-Eisenhower" "1957-Eisenhower" "1961-Kennedy" "1965-Johnson" "1969-Nixon" "1973-Nixon" "1977-Carter" "1981-Reagan" "1985-Reagan" "1989-Bush" "1993-Clinton" "1997-Clinton" "2001-Bush" "2005-Bush" "2009-Obama" "2013-Obama" "2017-Trump" "2021-Biden" "2025-Trump"
"can" 9 0 9 3 6 5 1 7 3 3 5 3 9 26 12 2 14 6 28 0 3 4 2 13 2 5 9 13 2 2 18 4 5 11 26 17 11 9 0 3 16 6 9 9 5 17 14 13 7 6 11 6 8 6 7 13 7 1 16 2
"everi" 9 0 5 2 4 2 5 14 13 5 1 0 20 13 11 1 9 5 4 2 6 1 6 4 5 5 9 12 3 3 8 8 0 4 4 3 4 4 3 0 2 4 0 2 6 0 7 0 2 5 1 3 11 6 10 8 7 7 2 9
"govern" 9 1 20 14 3 0 3 22 16 22 8 15 18 51 48 8 10 15 19 1 4 5 17 21 16 11 15 24 15 2 28 9 2 14 16 24 4 16 5 0 5 3 0 1 0 5 10 4 19 18 5 4 10 4 6 4 4 4 0 11
"public" 6 0 6 4 15 6 3 8 5 9 8 3 4 11 8 3 6 9 2 2 5 1 11 2 11 17 8 13 6 0 1 0 0 2 5 10 4 2 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 4 2 1 0 1 1 2
"may" 6 1 13 8 10 1 2 10 15 3 4 4 11 34 13 4 9 15 13 3 5 2 6 7 4 12 4 11 3 0 18 3 2 10 8 6 8 1 2 1 1 4 15 3 1 0 2 1 1 2 2 0 4 0 3 3 4 0 5 0
"present" 5 1 4 0 3 2 1 5 3 1 2 2 8 5 4 1 5 5 5 1 0 3 2 2 0 2 2 6 1 0 4 0 1 1 1 1 3 1 2 0 0 0 0 1 0 0 1 0 3 0 0 0 0 1 0 0 0 0 1 0
"countri" 5 1 10 4 5 5 6 11 8 10 2 3 17 25 19 6 6 9 3 0 8 8 20 2 4 7 4 15 3 1 12 1 0 5 20 9 1 3 1 1 11 7 1 4 1 1 3 1 3 1 3 1 0 9 8 2 7 12 4 17
"duti" 5 0 3 2 8 3 1 9 6 9 3 4 5 16 16 6 5 5 4 0 1 1 4 6 5 13 3 11 4 3 8 3 4 3 5 3 4 1 0 0 2 1 1 0 0 0 0 1 0 0 1 0 0 4 4 2 2 0 2 2
"one" 4 0 1 6 1 2 2 2 6 4 0 0 6 29 19 0 5 3 15 2 4 4 5 4 2 1 1 6 0 1 8 2 0 7 11 3 3 4 0 1 1 5 2 1 5 7 5 2 8 14 2 1 10 1 9 2 6 9 15 7
"hand" 4 0 0 0 1 0 1 3 0 3 1 2 5 9 6 0 2 0 4 0 0 0 1 2 0 0 0 0 3 1 7 2 1 0 2 0 4 1 1 0 0 1 0 4 2 2 0 0 2 3 8 1 2 0 1 2 0 1 1 1
"citizen" 4 1 3 5 10 0 3 9 14 3 2 3 7 27 10 1 3 5 6 0 4 1 8 5 10 6 7 7 0 1 5 0 3 1 4 11 1 2 1 1 1 6 0 5 4 1 1 0 3 6 3 2 8 10 7 1 8 4 1 8
